Region_Code,2021_TOINC_Median,2021_TOTEX_Median,W_REGN_N_2021,2021_TOINC_Sum,2021_TOTEX_Sum,2018_TOINC_Median,2018_TOTEX_Median,W_REGN_N_2018,2018_TOINC_Sum,2018_TOTEX_Sum
100000000,235895.5,173212.5,Region I - Ilocos Region,2028718498,1355292959,223992.5,167422.0,Region I - Ilocos Region,1803564027,1217727266
1000000000,181000.0,133849.0,Region X - Northern Mindanao,2616503203,1808801288,174810.0,132346.5,Region X - Northern Mindanao,2292398736,1631963984
1100000000,173854.5,128749.5,Region XI - Davao,2279990236,1525431883,167497.0,130291.5,Region XI - Davao,1978832608,1391000583
1200000000,160666.0,132840.5,Region XII - SOCCSKSARGEN,1926551316,1444228529,162941.5,144506.5,Region XII - SOCCSKSARGEN,1744112656,1337425523
1300000000,327192.0,259693.0,National Capital Region,8861765876,6743729044,350520.0,289892.0,National Capital Region,8064879135,6349895992
1400000000,234788.5,174992.5,Cordillera Administrative Region,3198006421,2196052265,215671.0,161908.5,Cordillera Administrative Region,2780989498,1799825993
1600000000,164485.5,142342.5,Region XIII - Caraga,1925756480,1515061695,161916.0,140943.0,Region XIII - Caraga,1846674456,1426816713
1700000000,173962.0,139163.5,Region IVB - MIMAROPA,2276772351,1615299807,177766.0,140402.0,Region IVB - MIMAROPA,2049907487,1414772920
1900000000,158759.5,124386.5,Autonomous Region in Muslim Mindanao,1527096432,1206420758,132640.0,109999.0,Autonomous Region in Muslim Mindanao,1155041802,894295162
200000000,213179.0,161706.0,Region II - Cagayan Valley,2081862403,1430322709,197699.0,149106.0,Region II - Cagayan Valley,1799015462,1172732613
300000000,254918.0,220966.0,Region III - Central Luzon,4358761484,3551521047,258444.0,233008.0,Region III - Central Luzon,3951885180,3257146331
400000000,263400.0,220237.0,Region IVA - CALABARZON,2854963735,2241560025,272320.0,233390.0,Region IVA - CALABARZON,2678548721,2115417858
500000000,176147.0,144711.0,Region V - Bicol,2253189105,1687178001,165737.0,150552.0,Region V - Bicol,1895992427,1560810465
600000000,202055.0,163994.0,Region VI - Western Visayas,3388093822,2467677183,197462.0,165360.5,Region VI - Western Visayas,3084080889,2319270618
700000000,215474.0,159069.0,Region VII - Central Visayas,2859944981,1961101145,227093.5,164642.0,Region VII - Central Visayas,2673287811,1737813210
800000000,172870.0,146105.0,Region VIII - Eastern Visayas,2809721029,2113308914,160858.0,142205.0,Region VIII - Eastern Visayas,2343391890,1843274542
900000000,167286.0,127096.0,Region IX - Zamboanga Peninsula,1605928614,1113662017,151826.0,121398.0,Region IX - Zamboanga Peninsula,1312710991,929594582
